source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp
2319905561070520704,2.5104669977705623,-30.30440069724778,4.648142111277636,0.06913788868112541,14.584213724212852,0.11550266276484021,-14.004316577919077,0.0974823159711347,16.349695,2.2514725
2319735239847136512,1.9012727344925442,-31.187949627127253,2.7989078007826556,0.0992772115758337,-7.786761759879136,0.158806224751607,-8.619166890102065,0.1549278685723838,16.926918,2.2692223
2319691499900223488,2.3522088469729976,-31.407391126063985,2.7246412864302614,0.04300491793764618,-3.822046478350197,0.06538368849976822,-7.618894683393714,0.04756171528634534,12.309838,0.77396965
2319860893409662336,2.5251634797802995,-30.690161491981932,4.895159455641861,0.47462607882202384,-2.148887963701464,1.0378424045400383,-29.035095263542374,0.6133395077972711,19.330742,2.9970436
2319798186888111104,2.58207979390371,-31.09250236758448,1.0922240114766577,0.09159424828063088,6.723101300589247,0.137821977308608,1.375035738854773,0.1443040620168218,16.804836,1.4036732
2319729914086968960,1.5667969785110543,-31.360454886804977,4.2541315530187624,0.14660608183157603,55.65778353982066,0.1733966208386885,11.810929687263613,0.16539511776358923,17.287207,2.6634064
2319902159456450432,2.793981615762252,-30.34145154694521,1.2169768039745692,0.0600385662259417,23.856122032131925,0.07784900885081021,0.731004814839566,0.07040967270170204,15.592724,1.1512117
2319904324119966080,2.6119633761190775,-30.344515517318357,1.1543046677699198,0.032905340717461,-5.588533976860269,0.044238811923103014,-6.184818889007473,0.042924249165905225,13.841611,0.73162746
2319671674331190144,2.415958791336484,-31.65374670870991,4.1749770868612766,0.06736498729612757,10.39892770214882,0.09202908740319181,0.8235323135854524,0.07859505570365813,15.787011,2.394041
2319847694975222016,2.4242694906374065,-30.954662127264868,2.771291131112963,0.3213916729512307,8.044293096240532,0.6435153326850929,13.903222404081685,0.41191391738474425,19.03419,2.592514
2319768530138788736,2.0850194985321866,-30.95228574553592,2.760653512702077,0.22660226213467224,18.79071984638887,0.30780537680601777,-4.243342309189581,0.36510791737922843,18.33316,3.0286713
2319666894031967232,2.0398559395077815,-31.57574783131003,3.177924843489591,0.5554887568248791,36.48639466210856,0.7565402684198904,17.5054319542543,0.790427121295122,19.435703,2.4403687
2319902331255141888,2.770762283905442,-30.342302287712617,2.646297636169496,0.06276132245758458,0.7648296099789681,0.09340173102084806,-8.967841528043358,0.08742604154041853,15.887869,1.9740763
2319849314178822656,2.627440188166604,-30.859942135159724,1.2397196494930933,0.04091599341748788,-20.055170567610922,0.07963527483426938,-8.435513286382687,0.063935107376568,14.881774,1.0084887
2319817084744261888,3.0039579400577523,-30.858340135482422,1.711028811645064,0.05498159798683809,11.140169267077233,0.11811296591983597,-12.789804304745028,0.06549335999772486,15.679846,1.4768019
2319794201158461952,2.6905665646614367,-31.148672361857624,2.0377849128172953,0.06565611053185764,-0.00906557624020786,0.0989229743968733,1.8265255594061482,0.10232401202001418,16.134111,1.8136168
2319716475134502400,1.9124870468608324,-31.4191290811482,3.3870637333187283,0.19828340086968235,44.700397134384815,0.21076016533966488,23.811694179997207,0.3379267321596016,17.725914,2.3975353
2319902193816188544,2.7404275620996046,-30.35631883009119,2.937636106039532,0.03679387771028867,45.97795190387945,0.06284554789987042,24.87430560557964,0.05232414158149769,10.828544,0.6697998
2319887109890157824,2.7007237509395132,-30.53952137567208,3.791575532180684,1.1158801939746146,24.57571036938367,0.9277377161735715,2.1436925734742722,1.3281007604376998,20.164412,2.020609
2319842575374402688,3.129568351329691,-30.548763488360777,1.7851381453798614,0.46164832861697697,7.785430669328463,0.5853741019790979,-7.483726028266133,0.61184665304519,19.204456,1.9354916
2319858969264315776,2.6632790088056586,-30.66951019091221,11.099873860602896,1.0371709665339965,-13.245184823954693,1.2563021605833289,-118.29611231686528,1.6116923858270502,20.409943,2.5764656
2319667512507260672,1.9479624614193136,-31.569001417760465,1.899878632998336,0.32320648805848823,3.637020495150967,0.36440578260222334,-15.131822434062196,0.48132045162161685,18.445642,2.141037
2319763517911834240,1.9099285358155216,-31.04190753120324,5.56863706954835,0.06671294035386639,21.816360524331863,0.10017922860451589,9.638111991277183,0.09722942848696889,16.00751,2.3563309
2319816053952112128,3.088351407141501,-30.894236119465415,3.2022635176368466,0.04523593530905875,48.65113574169949,0.06989171416906616,-14.304763719470357,0.060269687754031125,14.958835,1.7418938
2319765716935088384,2.005630341305607,-30.962321829449813,1.2172515896151588,0.1341882414559803,24.30423405677982,0.1707938250382263,-6.015374755200652,0.19884391047558642,17.44486,1.8466606
2319794544755844864,2.66161540791564,-31.120270239633097,1.9650888622240308,0.1139755099623051,9.38587745416674,0.17023269408887223,9.793456139618094,0.17565303113367955,17.236269,2.1145992
2320012797813790848,3.627617201945205,-30.598737602291596,3.021093161346306,0.04362335628131178,50.148930358581744,0.06949027855752171,-20.475206165009553,0.049057155773738356,11.486553,0.71435547
2319878550020895616,2.3092737629379876,-30.522663191499042,1.4314649269226674,0.3217536476319395,4.790579735554522,0.28648958887286735,-50.6195041102217,0.30529606760495087,18.239197,2.227457
2319903121529123456,2.719879299298657,-30.312008222931013,1.473464271598502,0.11459232705277218,0.4977941465287413,0.1653103961599659,-6.970921166531791,0.15621804247685075,17.21942,1.7840862
2319745238531017344,2.019296923993357,-31.292233325174276,7.319040946756137,0.03266299335018302,42.983850128733856,0.04395886297692908,-1.085845242483022,0.04500464186169817,13.955344,1.8959675
2319891675440564224,2.950396341163931,-30.4368482756386,7.162858377129362,0.2425482234887173,117.43950673881528,0.3106172900264344,-31.664724052223818,0.2846462276026293,18.202143,3.080225
2320008331047803904,3.717764857310826,-30.687954470537942,1.0759333262526896,0.09177264033328067,17.32620334631007,0.11802203742182162,3.752092929830459,0.12229866666322875,16.515291,1.368063
2319794647835059712,2.6669337254790664,-31.09774920688322,2.0296813387112307,0.028780249244732495,-4.724986012250496,0.0442984465803779,0.5955939844950064,0.040617245254307176,13.83966,0.9710808
2319720499519379200,1.8478259137380293,-31.37370105422221,1.4548495689328331,0.07883739117322525,-10.908345281935885,0.11406856143597358,-5.680045118810333,0.10647537354696844,16.333807,1.5523243
2319824231569884032,3.406192210053904,-30.64563607116813,1.6270540162388738,0.3420532232200328,5.482637662559033,0.2533884312876371,-4.02299730146675,0.3607717880144277,17.558317,2.254118
